tuscaloosanews , 0 
dothaneagle , 0 
arizonarepublic , 0 
TucsonStar , 0 
nwademgaz , 0 
TimesRecord , 0 
latimes , 1 
sfchronicle , 0 
denverpost , 1 
csgazette , 1 
hartfordcourant , 1 
nhregister , 1 
NewsWilmington , 0 
Doverpost , 0 
orlandosentinel , 3 
MiamiHerald , 1 
ajc , 0 
GwinnettDaily , 0 
MidWeekHawaii , 0 
StarAdvertiser , 1 
IdahoStatesman , 2 
twinfallstn , 0 
chicagotribune , 4 
Suntimes , 0 
indystar , 1 
nwi , 1 
DMRegister , 2 
gazettedotcom , 1 
kansasdotcom , 0 
CJOnline , 0 
courierjournal , 0 
heraldleader , 0 
theadvocatebr , 1 
shreveporttimes , 1 
sunjournal , 1 
PortlandPhoenix , 0 
baltimoresun , 0 
Baltimore_Times , 0 
BostonGlobe , 8 
bostonherald , 2 
freep , 2 
detroitnews , 1 
StarTribune , 3 
PioneerPress , 0 
clarionledger , 0 
DJournalnow , 0 
KCStar , 0 
stltoday , 1 
billingsgazette , 0 
GFTribune , 1 
OWHnews , 0 
JournalStarNews , 0 
reviewjournal , 1 
LasVegasSun , 1 
UnionLeader , 0 
laconiadailysun , 0 
starledger , 1 
TheRecordNJ , 0 
ABQJournal , 0 
thenewmexican , 0 
theobserver , 0 
newsobserver , 1 
WSJ , 4 
nytimes , 8 
theforum , 0 
bistrib , 0 
ThePlainDealer , 0 
Enquirer , 0 
TheOklahoman , 0 
tulsaworld , 1 
Oregonian , 1 
registerguard , 0 
PhillyDailyNews , 0 
PhillyInquirer , 0 
projo , 3 
TheValleyBreeze , 0 
GreenvilleNews , 0 
postandcourier , 0 
argusleader , 0 
RCJournal , 0 
Tennessean , 1 
newssentinel , 0 
dallasnews , 0 
HoustonChron , 2 
DeseretNews , 2 
sltrib , 0 
sevendaysvt , 0 
bfp_news , 0 
USATODAY , 4 
pilotnews , 0 
seattletimes , 2 
thenewstribune , 0 
GbrValleyWV , 0 
heralddispatch , 0 
journalsentinel , 0 
WiStateJournal , 0 
CSTribune , 0 
WTEnews , 0 
