tuscaloosanews , 0
dothaneagle , 0
arizonarepublic , 0
TucsonStar , 0
nwademgaz , 0
TimesRecord , 0
latimes , 9
sfchronicle , 0
denverpost , 3
csgazette , 3
hartfordcourant , 1
nhregister , 0
NewsWilmington , 0
Doverpost , 0
orlandosentinel , 4
MiamiHerald , 4
ajc , 5
GwinnettDaily , 0
MidWeekHawaii , 0
StarAdvertiser , 3
IdahoStatesman , 4
twinfallstn , 0
chicagotribune , 11
Suntimes , 2
indystar , 1
nwi , 1
DMRegister , 1
gazettedotcom , 0
kansasdotcom , 0
CJOnline , 1
courierjournal , 0
heraldleader , 0
theadvocatebr , 0
shreveporttimes , 0
sunjournal , 0
PortlandPhoenix , 0
baltimoresun , 2
Baltimore_Times , 0
BostonGlobe , 23
bostonherald , 8
freep , 3
detroitnews , 1
StarTribune , 5
PioneerPress , 4
clarionledger , 0
DJournalnow , 0
KCStar , 4
stltoday , 3
billingsgazette , 0
GFTribune , 2
OWHnews , 1
JournalStarNews , 0
reviewjournal , 0
LasVegasSun , 0
UnionLeader , 1
laconiadailysun , 0
starledger , 3
TheRecordNJ , 0
ABQJournal , 0
thenewmexican , 2
theobserver , 1
newsobserver , 2
WSJ , 9
nytimes , 18
theforum , 0
bistrib , 0
ThePlainDealer , 0
Enquirer , 0
TheOklahoman , 0
tulsaworld , 0
Oregonian , 5
registerguard , 0
PhillyDailyNews , 0
PhillyInquirer , 0
projo , 6
TheValleyBreeze , 0
GreenvilleNews , 0
postandcourier , 1
argusleader , 0
RCJournal , 0
Tennessean , 0
newssentinel , 0
dallasnews , 1
HoustonChron , 3
DeseretNews , 2
sltrib , 1
sevendaysvt , 0
bfp_news , 0
USATODAY , 11
pilotnews , 0
seattletimes , 7
thenewstribune , 0
GbrValleyWV , 0
heralddispatch , 0
journalsentinel , 3
WiStateJournal , 7
CSTribune , 0
WTEnews , 0
