tuscaloosanews , 0 
dothaneagle , 0 
arizonarepublic , 0 
TucsonStar , 0 
nwademgaz , 0 
TimesRecord , 0 
latimes , 9 
sfchronicle , 0 
denverpost , 1 
csgazette , 2 
hartfordcourant , 6 
nhregister , 0 
NewsWilmington , 0 
Doverpost , 0 
orlandosentinel , 7 
MiamiHerald , 4 
ajc , 3 
GwinnettDaily , 0 
MidWeekHawaii , 0 
StarAdvertiser , 2 
IdahoStatesman , 0 
twinfallstn , 0 
chicagotribune , 7 
Suntimes , 1 
indystar , 1 
nwi , 1 
DMRegister , 1 
gazettedotcom , 0 
kansasdotcom , 0 
CJOnline , 0 
courierjournal , 3 
heraldleader , 0 
theadvocatebr , 0 
shreveporttimes , 0 
sunjournal , 1 
PortlandPhoenix , 0 
baltimoresun , 0 
Baltimore_Times , 0 
BostonGlobe , 13 
bostonherald , 4 
freep , 5 
detroitnews , 1 
StarTribune , 3 
PioneerPress , 0 
clarionledger , 0 
DJournalnow , 1 
KCStar , 0 
stltoday , 3 
billingsgazette , 1 
GFTribune , 0 
OWHnews , 2 
JournalStarNews , 0 
reviewjournal , 3 
LasVegasSun , 1 
UnionLeader , 0 
laconiadailysun , 0 
starledger , 0 
TheRecordNJ , 0 
ABQJournal , 0 
thenewmexican , 0 
theobserver , 0 
newsobserver , 2 
WSJ , 14 
nytimes , 30 
theforum , 0 
bistrib , 0 
ThePlainDealer , 0 
Enquirer , 1 
TheOklahoman , 0 
tulsaworld , 0 
Oregonian , 2 
registerguard , 0 
PhillyDailyNews , 0 
PhillyInquirer , 0 
projo , 3 
TheValleyBreeze , 0 
GreenvilleNews , 0 
postandcourier , 0 
argusleader , 0 
RCJournal , 0 
Tennessean , 1 
newssentinel , 0 
dallasnews , 2 
HoustonChron , 0 
DeseretNews , 0 
sltrib , 0 
sevendaysvt , 0 
bfp_news , 1 
USATODAY , 13 
pilotnews , 0 
seattletimes , 1 
thenewstribune , 0 
GbrValleyWV , 0 
heralddispatch , 0 
journalsentinel , 1 
WiStateJournal , 3 
CSTribune , 1 
WTEnews , 0 
